Unnamed: 0,hh_ha,pers_ha,pt_dis,station_dis,lat,lng,geometry,migros,coop,discounter,other,competitors,all_supermarkets,number_companies,migros_500m,coop_500m,discounter_500m,other_500m,number_companies_500m
1281,0,0,0,4380,47.4117,8.50974,POINT (47.4117 8.509740000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
1613,0,0,0,1000,47.3751,8.5527,POINT (47.3751 8.5527),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
2935,0,0,0,4025,47.4144,8.55551,POINT (47.4144 8.55551),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,4
3166,0,0,0,1890,47.3849,8.51715,POINT (47.3849 8.517150000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,3
3167,0,0,0,1900,47.3851,8.51715,POINT (47.3851 8.517150000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,2
3568,0,0,0,5565,47.3954,8.47099,POINT (47.3954 8.47099),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
4708,0,0,0,4750,47.4033,8.59105,POINT (47.4033 8.591049999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,2
9431,0,0,0,4360,47.4109,8.572,POINT (47.4109 8.571999999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
16556,0,0,0,3235,47.3942,8.50442,POINT (47.3942 8.50442),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
20874,0,0,0,3825,47.4125,8.54189,POINT (47.4125 8.54189),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,3.0,1.0,2
21925,0,0,0,3190,47.4057,8.52817,POINT (47.4057 8.528169999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
23353,0,0,0,1350,47.366,8.54093,POINT (47.366 8.540929999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10
23958,0,0,0,6130,47.4174,8.48302,POINT (47.4174 8.48302),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
24838,0,0,0,2645,47.3733,8.57451,POINT (47.3733 8.57451),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
25505,0,0,0,665,47.3767,8.54876,POINT (47.3767 8.54876),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1
25823,0,0,0,5125,47.4044,8.59604,POINT (47.4044 8.59604),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0
26370,0,0,0,3900,47.4153,8.56249,POINT (47.4153 8.56249),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,5
27073,0,10,0,2935,47.3997,8.51778,POINT (47.3997 8.51778),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
29773,0,0,0,3265,47.3877,8.49932,POINT (47.3877 8.499320000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,2.0,0.0,1
31008,0,0,0,3680,47.3587,8.50073,POINT (47.3587 8.500730000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
32012,0,0,0,5760,47.3658,8.46612,POINT (47.3658 8.46612),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
32013,0,0,0,5760,47.3658,8.46612,POINT (47.3658 8.46612),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
32014,0,0,0,5760,47.3658,8.46612,POINT (47.3658 8.46612),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
32015,0,0,0,5760,47.3658,8.46612,POINT (47.3658 8.46612),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
33085,0,0,0,3930,47.42,8.53542,POINT (47.42 8.53542),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
36051,0,0,0,1250,47.3669,8.54028,POINT (47.3669 8.540279999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,16
41111,0,0,0,5290,47.3975,8.60417,POINT (47.3975 8.60417),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4
43050,0,0,0,4790,47.4098,8.49711,POINT (47.4098 8.497109999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
43496,0,0,0,1285,47.3671,8.54525,POINT (47.3671 8.545249999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,8
51682,0,0,0,3755,47.4168,8.56815,POINT (47.4168 8.568149999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
51683,0,0,0,3755,47.4168,8.56815,POINT (47.4168 8.568149999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
51684,0,0,0,3755,47.4168,8.56815,POINT (47.4168 8.568149999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
51685,0,0,0,3755,47.4168,8.56815,POINT (47.4168 8.568149999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
54398,0,0,0,7050,47.3682,8.44796,POINT (47.3682 8.44796),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
54614,0,0,0,4595,47.3944,8.48422,POINT (47.3944 8.484220000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1
56008,0,54,0,490,47.377,8.54645,POINT (47.377 8.54645),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,4
65576,0,0,0,6370,47.3975,8.46077,POINT (47.3975 8.46077),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,4
66464,0,0,0,1000,47.3726,8.55066,POINT (47.3726 8.550660000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1
67405,0,0,0,3740,47.4168,8.56616,POINT (47.4168 8.56616),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
69343,0,0,0,1825,47.3938,8.54746,POINT (47.3938 8.547459999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
69679,0,0,0,3975,47.4164,8.57908,POINT (47.4164 8.579079999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3
71343,0,0,0,4220,47.4002,8.4946,POINT (47.4002 8.4946),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
74674,0,0,0,2205,47.4306,8.5595,POINT (47.4306 8.5595),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8
75282,0,0,0,4180,47.4086,8.50769,POINT (47.4086 8.50769),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1
75629,0,0,0,5705,47.4124,8.48391,POINT (47.4124 8.48391),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1
76735,0,0,0,3800,47.3963,8.49751,POINT (47.3963 8.49751),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
78963,0,0,0,7340,47.4258,8.47192,POINT (47.4258 8.471920000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
80691,0,0,0,1780,47.365,8.52667,POINT (47.365 8.526669999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
81968,0,0,0,2725,47.3992,8.52174,POINT (47.3992 8.521739999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
82065,0,0,0,7760,47.4091,8.44807,POINT (47.4091 8.44807),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
82112,0,0,0,2470,47.3679,8.51117,POINT (47.3679 8.51117),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
84661,0,0,0,3515,47.3664,8.49691,POINT (47.3664 8.49691),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
85618,0,0,0,4160,47.4166,8.53833,POINT (47.4166 8.53833),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1
90391,0,0,0,3890,47.413,8.53594,POINT (47.413 8.53594),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
94049,0,0,0,4000,47.4141,8.54126,POINT (47.4141 8.541259999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0,4
94700,0,0,0,5415,47.3985,8.47503,POINT (47.3985 8.47503),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
97018,0,0,0,3690,47.4176,8.55425,POINT (47.4176 8.55425),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,5
97432,0,0,0,4880,47.4089,8.49411,POINT (47.4089 8.494109999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
98786,0,0,0,3730,47.4116,8.54419,POINT (47.4116 8.54419),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,3.0,1.0,5
98788,0,0,0,3735,47.4116,8.54485,POINT (47.4116 8.54485),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,3.0,1.0,5
103706,0,0,0,4045,47.4147,8.55121,POINT (47.4147 8.551209999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,6
105780,0,0,0,2915,47.4036,8.53111,POINT (47.4036 8.53111),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
105981,0,0,0,2050,47.36,8.53551,POINT (47.36 8.53551),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,5
108764,0,0,0,5075,47.3613,8.60272,POINT (47.3613 8.60272),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
110053,0,0,0,3795,47.4106,8.55576,POINT (47.4106 8.555759999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
110774,0,0,0,2330,47.4309,8.57375,POINT (47.4309 8.57375),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,3
110949,0,0,0,3305,47.392,8.50139,POINT (47.392 8.501390000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0
111620,0,0,0,8480,47.3657,8.42938,POINT (47.3657 8.42938),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
114700,0,0,0,3255,47.4228,8.57689,POINT (47.4228 8.576890000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
115539,0,0,0,2185,47.4308,8.55884,POINT (47.4308 8.55884),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8
115661,0,0,0,3700,47.4107,8.55079,POINT (47.4107 8.550789999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,0.0,3
117117,0,0,0,6980,47.4007,8.45388,POINT (47.4007 8.45388),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5
117144,0,0,0,3575,47.4182,8.56189,POINT (47.4182 8.56189),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4
117377,0,0,0,810,47.3727,8.54735,POINT (47.3727 8.54735),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,3
