,address_shop,name_shop,rating_shop,lat_shop,lng_shop,supermarket_brand
143,"Badenerstrasse 333, 8003 Zürich, Switzerland",Coop Supermarkt Zürich Albisriederplatz,4.1,47.37771129999999,8.5111067,Spar
144,"Regensdorferstrasse 2, 8104 Weiningen, Switzerland",SPAR Supermarkt Weiningen,4.3,47.419928000000006,8.434778,Spar
145,"Seefeldstrasse 199, 8008 Zürich, Switzerland",Coop Supermarkt Zürich Tiefenbrunnen,3.9,47.3533693,8.559115,Spar
146,"Seefeldstrasse 123, 8008 Zürich, Switzerland",Coop Supermarkt Zürich Seefeld,4.1,47.3580373,8.5547665,Spar
147,"Röschibachstrasse 56, 8037 Zürich, Switzerland",Reto Suhner,0.0,47.39337020000001,8.5269906,Spar
148,"Althardstrasse 10, 8105 Regensdorf, Switzerland",Spar,0.0,47.4366362,8.473856,Spar
149,"Oberglatterstrasse 35, 8153 Rümlang, Switzerland",SPAR express Rümlang,4.1,47.4642074,8.526148599999999,Spar
150,"Mythenquai 353, 8038 Zürich, Switzerland",SPAR express Mythenquai,4.0,47.3460045,8.5345955,Spar
151,"Bahnhofstrasse 6/8, 8932 Mettmenstetten, Switzerland",SPAR Supermarkt Mettmenstetten,4.2,47.2437599,8.4616419,Spar
152,"Uetlibergstrasse 20, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Manessehof,4.0,47.3649163,8.521123900000001,Spar
153,"Kalanderpl. 1, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Sihlcity Supermarkt,4.4,47.3576232,8.5231751,Spar
154,"Bachstrasse 11, 8902 Urdorf, Switzerland",SPAR Supermarkt Urdorf,4.2,47.3819171,8.4237329,Spar
155,"Pumpwerkstrasse 56, 8105 Regensdorf, Switzerland",SPAR,4.2,47.4453521,8.464095499999999,Spar
156,"Neunbrunnenstrasse 40, 8052 Zürich, Switzerland",DHL Service Point (SPAR EXPRESS),0.0,47.417332200000004,8.5405667,Spar
157,"Birmensdorferstrasse 517, 8055 Zürich, Switzerland",migrolino Zürich Birmensdorferstrasse,4.3,47.36741079999999,8.494410199999999,Spar
158,"Birmensdorferstrasse 484, 8055 Zürich, Switzerland",migrolino Triemli,4.3,47.368580200000004,8.496631500000001,Spar
159,"Löwenstrasse 31-35, 8001 Zürich, Switzerland",Migros,4.3,47.37538319999999,8.536079699999998,Migros
160,"Hauptbahnhof, 8001 Zürich, Switzerland",Migros Supermarkt,4.3,47.3782609,8.5402757,Migros
161,"ShopVille - Zürich Hauptbahnhof, 8001 Zürich, Switzerland",Migros Supermarkt,4.2,47.3770993,8.5393882,Migros
162,"Sihlpassage, 8004 Zürich, Switzerland",Migros Supermarkt,4.3,47.3784015,8.535615,Migros
163,"Falkenstrasse 19 - 21, 8008 Zürich, Switzerland",Migros,4.2,47.36543959999999,8.547797899999999,Migros
164,"Stockerstrasse 47, 8002 Zürich, Switzerland",Migros Supermarkt,4.1,47.36834210000001,8.5341709,Migros
165,"Löwenstrasse 35, 8001 Zürich, Switzerland",Billett-Service Migros,4.0,47.3752656,8.536159999999999,Migros
166,"Löwenstrasse 2, 8001 Zürich, Switzerland",migrolino fresh Zürich Löwenstrasse,4.1,47.3729829,8.534700899999999,Migros
167,"Winterthurerstrasse 2/4, 8006 Zürich, Switzerland",Migros Supermarkt,4.2,47.3860603,8.548691,Migros
168,"Löwenstrasse 31/35, 8001 Zürich, Switzerland",SUN STORE Migros City Zürich,3.1,47.3754389,8.536062699999999,Migros
169,"Bahnhofquai Hauptbahnhof, 8001 Zürich, Switzerland",migrolino,3.7,47.37788,8.541199800000001,Migros
170,"Bahnhofstrasse, 8001 Zürich, Switzerland",Migros,2.9,47.3784278,8.5402537,Migros
171,"Birmensdorferstrasse 140, 8003 Zürich, Switzerland",Migros Supermarkt,4.2,47.3700773,8.520128399999999,Migros
172,"Hardturmstrasse 11, 8005 Zürich, Switzerland",Migros Supermarkt,4.3,47.391335999999995,8.518552999999999,Migros
173,"Waffenplatzstrasse 40, 8002 Zürich, Switzerland",migrolino Zürich Waffenplatz,4.3,47.3595094,8.5266133,Migros
174,"BRUNAUPARK, Giesshübelstrasse 65, 8045 Zürich, Switzerland",Migros Supermarkt,4.3,47.35838589999999,8.517647199999999,Migros
175,"Etzelstrasse 3, 8038 Zürich, Switzerland",Migros Supermarkt,4.3,47.34472220000001,8.53,Migros
176,"Pfingstweidstrasse 101, 8005 Zürich, Switzerland",Migros-Supermarkt,4.2,47.3902225,8.508951999999999,Migros
177,"Mutschellenstrasse 137, 8038 Zürich, Switzerland",Migros Florissimo,4.6,47.34697560000001,8.5287457,Migros
178,"Badenerstrasse 376, 8004 Zürich, Switzerland",Migros Supermarkt,4.1,47.379105100000004,8.508754199999998,Migros
179,"Bullingerstrasse 73, 8004 Zürich, Switzerland",migrolino Zürich Hardau,4.1,47.381426700000006,8.510088999999999,Migros
180,"Badenerstrasse 339, 8004 Zürich, Switzerland",migrolino fresh Zürich Albisriederplatz,0.0,47.377892200000005,8.5108966,Migros
181,"Langstrasse 134, 8004 Zürich, Switzerland",migrolino fresh Zürich Langstrasse,3.9,47.3798155,8.5279692,Migros
182,"Scheffelstrasse 3, 8037 Zürich, Switzerland",Migros Supermarkt,4.1,47.39369779999999,8.529244199999999,Migros
183,"Zollstrasse 6, 8005 Zürich, Switzerland",Migros Supermarkt (mit Daily Produkten),4.5,47.3798176,8.5369492,Migros
184,"Schaffhauserstrasse 75, 8057 Zürich, Switzerland",Migros,4.0,47.3925449,8.538483900000001,Migros
185,"8037 Zürich, Switzerland",VOI Migros Partner,4.3,47.3953139,8.518342800000001,Migros
186,"Heinrichstrasse 216, 8005 Zürich, Switzerland",Migros-Genossenschafts-Bund Group IT,4.7,47.3883466,8.524344500000002,Migros
187,"Sihlquai 155, 8005 Zürich, Switzerland",migrolino Zürich Sihlquai,3.9,47.386045200000005,8.5319444,Migros
188,"Regensdorferstrasse 20, 8049 Zürich, Switzerland",Migros Supermarkt,4.3,47.4037541,8.497185499999999,Migros
189,"Seefeldstrasse 111/113, 8008 Zürich, Switzerland",Migros Supermarkt,4.2,47.358365,8.5541587,Migros
190,"Forchstrasse 260, 8008 Zürich, Switzerland",Migros Supermarkt,4.1,47.357604200000004,8.5716275,Migros
191,"Witikonerstrasse 293, 8053 Zürich, Switzerland",Migros Supermarkt,4.3,47.35909299999999,8.5856,Migros
192,"Horneggstrasse 3, 8008 Zürich, Switzerland",migrolino Zürich Hornegg,4.4,47.3522694,8.5586466,Migros
193,"Toblerstrasse 73, 8044 Zürich, Switzerland",Migros Supermarkt,3.9,47.379307,8.559392599999999,Migros
194,"Leimbachstrasse 23, 8041 Zürich, Switzerland",Migros Supermarkt,4.1,47.33603830000001,8.518925999999999,Migros
195,"Jonas-Furrer-Strasse 21, 8046 Zürich, Switzerland",Migros Supermarkt,4.2,47.420061100000005,8.5085111,Migros
196,"Albisriederstrasse 365, 8047 Zürich, Switzerland",Migros Supermarkt,4.1,47.3752046,8.4857195,Migros
197,"Neumarkt Altstetten, Altstetterstrasse 145, 8048 Zürich, Switzerland",Migros Supermarkt,4.4,47.3882164,8.4873808,Migros
198,"Hohlstrasse 600, 8048 Zürich, Switzerland",Migros Supermarkt,4.2,47.391361200000006,8.4877977,Migros
199,"Einkaufszentrum Neumarkt, Hofwiesenstrasse 350, 8050 Zürich, Switzerland",Migros Supermarkt,4.3,47.410613899999994,8.542808099999998,Migros
200,"Schaffhauserstrasse 470, 8052 Zürich, Switzerland",Migros Supermarkt,4.3,47.4195334,8.5483259,Migros
201,"Nansenstrasse 21, 8050 Zürich, Switzerland",Do it + Garden - City Farming Zürich-Oerlikon,4.4,47.4101441,8.544248,Migros
202,"Einkaufszentrum Neumarkt, 8050 Zürich, Switzerland",Migros Florissimo,0.0,47.4106911,8.543093899999999,Migros
203,"Zentrum Neumarkt Hofwiesenstrasse 350-354, 8050 Zürich, Switzerland",melectronics,3.6,47.41048319999999,8.542931099999999,Migros
204,"Thurgauerstrasse 100, 8052 Zürich, Switzerland",migrolino Zürich Thurgauerstrasse,4.3,47.41979689999999,8.5563336,Migros
205,"Hofwiesenstrasse 350/354, 8050 Zürich, Switzerland",Migros Take Away,3.9,47.410676200000005,8.5429459,Migros
206,"Hofwiesenstrasse 354, 8050 Zürich, Switzerland",Migros Electronics,3.0,47.410606,8.542990300000001,Migros
207,"Grünauring 37, 8064 Zürich, Switzerland",VOI,4.0,47.3960893,8.4864944,Migros
208,"Bahnhofbrücke 1, 8001 Zürich, Switzerland",Coop Supermarkt Zürich Bahnhofbrücke,4.3,47.3764584,8.5423575,Coop
209,"Bärengasse 16, 8001 Zürich, Switzerland",Coop Supermarkt Zürich Bärengasse,4.2,47.3700619,8.537119299999999,Coop
210,"Stadelhoferstrasse 10, 8001 Zürich, Switzerland",coop Zürich Stadelhofen,4.2,47.3665879,8.5478226,Coop
211,"Europaallee 5, 8004 Zürich, Switzerland",Coop Supermarkt Zürich Europaallee Passage,4.2,47.3780286,8.534917499999999,Coop
212,"Halle, Löwenstrasse, 8021 Zürich, Switzerland",Coop Supermarkt Zürich ShopVille HB,4.0,47.37780739999999,8.538464900000001,Coop
213,"Theaterstrasse 18, 8001 Zürich, Switzerland",Coop City Zürich Bellevue,4.2,47.367271,8.546107899999999,Coop
214,"Badenerstrasse 15, 8004 Zürich, Switzerland",Coop Supermarkt Zürich Stauffacher,4.1,47.37342350000001,8.5303361,Coop
215,"Bahnhofstrasse 57, 8001 Zürich, Switzerland",Coop Supermarkt City Zürich St. Annahof Food,4.3,47.37295719999999,8.537843400000002,Coop
216,"Löwenstrasse 7, 8001 Zürich, Switzerland",Coop Pronto Shop,4.1,47.3733679,8.534488,Coop
217,"Zollstrasse 42, 8005 Zürich, Switzerland",Coop Supermarkt Zürich Zollstrasse,4.2,47.3805215,8.534859800000001,Coop
218,"Universitätstrasse 73, 8006 Zürich, Switzerland",Coop Supermarkt Zürich Universitätstrasse,3.9,47.38252139999999,8.547810499999999,Coop
219,"Seefeldstrasse 35, 8008 Zürich, Switzerland",Coop Supermarkt Zürich Brotgasse,4.1,47.36317460000001,8.5499358,Coop
220,"Hohlstrasse 35, 8004 Zürich, Switzerland",Coop Supermarkt Zürich Hohlstrasse,4.0,47.3771023,8.5265009,Coop
221,"Forchstrasse 4, 8008 Zürich, Switzerland",Coop Supermarkt Zürich Kreuzplatz,3.9,47.364449900000004,8.5548427,Coop
222,"Badenerstrasse 44, 8004 Zürich, Switzerland",Coop Pronto Shop,4.1,47.373560600000005,8.5280957,Coop
223,"Universitätstrasse 101, 8006 Zürich, Switzerland",Coop Supermarkt Zürich Rigiplatz,3.8,47.383957099999996,8.5480634,Coop
224,"Löwenstrasse 9, 8001 Zürich, Switzerland",Coop Pronto Shop – Zürich Löwenstrasse,3.9,47.3733847,8.534583300000001,Coop
225,"Tessinerpl. 3, 8002 Zürich, Switzerland",Coop Pronto Shop,4.2,47.364414200000006,8.5322192,Coop
226,"Birmensdorferstrasse 200, 8003 Zürich, Switzerland",Coop Supermarkt Zürich Wiedikon,4.3,47.370795799999996,8.5160521,Coop
227,"Badenerstrasse 244, 8004 Zürich, Switzerland",Coop Supermarkt Zürich Lochergut,4.2,47.3757341,8.5173337,Coop
228,"Röntgenstrasse 48, 8005 Zürich, Switzerland",Coop Supermarkt Zürich Josefstrasse,4.0,47.3847527,8.527192099999999,Coop
229,"Maagpl. 1, 8005 Zürich, Switzerland",Coop Supermarkt Zürich Maagplatz,4.1,47.38597539999999,8.5161538,Coop
230,"Birmensdorferstrasse 55, 8004 Zürich, Switzerland",Coop Pronto Shop,4.1,47.3713635,8.5251356,Coop
231,"Badenerstrasse 120, 8004 Zürich, Switzerland",Coop Pronto Shop,4.1,47.374424,8.5237379,Coop
232,"Giessereistrasse 18, 8005 Zürich, Switzerland",Coop Supermarkt Zürich Puls 5,4.1,47.3908033,8.5178652,Coop
233,"Pfingstweidstrasse 106, 8005 Zürich, Switzerland",Coop Supermarkt Zürich Hard Turm Park,4.1,47.391116100000005,8.508011400000001,Coop
234,"Maschinenstrasse 10, 8005 Zürich, Switzerland",Coop Supermarkt Pfingstweidstrasse Prime 2,4.5,47.387401000000004,8.517362,Coop
235,"Hardstrasse 221, 8005 Zürich, Switzerland",Coop Pronto Shop,4.0,47.386452,8.5177126,Coop
236,"Baslerstrasse 50, 8066 Zürich, Switzerland",Coop Supermarkt Zürich Letzipark,4.2,47.3859855,8.499333,Coop
237,"Neugasse 50, 8005 Zürich, Switzerland",Coop ToGo Zürich Neugasse,4.0,47.382748299999996,8.5296886,Coop
238,"Klosbachstrasse 104, 8032 Zürich, Switzerland",Coop Supermarkt Zürich Römerhof,4.0,47.3678286,8.5608793,Coop
239,"Witikonerstrasse 15, 8032 Zürich, Switzerland",Coop Pronto Shop,4.4,47.3639816,8.5670317,Coop
240,"Alte Kalchbühlstrasse 15, 8038 Zürich, Switzerland",Coop Supermarkt Zürich Wollishofen,4.3,47.3399252,8.530756499999999,Coop
241,"Seestrasse 339, 8038 Zürich, Switzerland",Coop Supermarkt Zürich Wollishofen Seestr.,4.1,47.347195899999996,8.533142800000002,Coop
242,"Leimbachstrasse 200, 8041 Zürich, Switzerland",Coop Supermarkt Zürich Leimbach,4.2,47.32622979999999,8.5143129,Coop
243,"Friesenbergpl. 3, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Zentrum Friesenberg,3.9,47.36092070000001,8.5068197,Coop
244,"Zürichstrasse 114, 8134 Adliswil, Switzerland",Coop Pronto Shop mit Tankstelle,4.1,47.327599,8.52998,Coop
245,"Zürichbergstrasse 75, 8044 Zürich, Switzerland",Coop Supermarkt Zürich Fluntern,3.9,47.376389200000006,8.559660299999999,Coop
246,"Wehntalerstrasse 549, 8046 Zürich, Switzerland",Coop Supermarkt Zürich Wehntalerstrasse,4.0,47.418887100000006,8.505592300000002,Coop
247,"Mühlackerstrasse 199, 8046 Zürich, Switzerland",Coop Supermarkt Zürich Mühlackerstrasse,4.2,47.4255113,8.4969846,Coop
248,"In der Ey 85, 8047 Zürich, Switzerland",Coop Supermarkt Zürich Triemli,4.2,47.370577000000004,8.4921401,Coop
249,"Albisriederstrasse 334, 8047 Zürich, Switzerland",Coop Supermarkt Zürich A-Park,4.0,47.3761878,8.4870906,Coop
250,"Gutstrasse 159, 8047 Zürich, Switzerland",Coop Supermarkt Zürich Gutstrasse,3.9,47.37366309999999,8.502381199999999,Coop
251,"Badenerstrasse 575, 8048 Zürich, Switzerland",Coop Pronto Shop,4.4,47.38463170000001,8.495802000000001,Coop
252,"Badenerstrasse 650, 8048 Zürich, Switzerland",Coop Supermarkt Zürich Altstetten,4.0,47.3875672,8.489013499999999,Coop
253,"Lindenpl. 6, 8048 Zürich, Switzerland",Coop Supermarkt Zürich Lindenplatz,4.0,47.3876386,8.4853846,Coop
254,"Vulkanpl., 8048 Zürich, Switzerland",Coop Supermarkt Zürich Westlink,4.1,47.3921018,8.490131300000002,Coop
255,"Am Suteracher 14, 8048 Zürich, Switzerland",Coop Supermarkt Zürich Suteracher,4.1,47.389955,8.472095199999998,Coop
256,"Hohlstrasse 560, 8048 Zürich, Switzerland",Coop Pronto Shop,4.1,47.3909986,8.489169,Coop
257,"Vulkanstrasse 108, 8048 Zürich, Switzerland",Coop Supermarkt Zürich Vulkanstrasse,4.2,47.39354960000001,8.483847599999999,Coop
258,"Hohlstrasse 461, 8048 Zürich, Switzerland",Coop,4.2,47.3872813,8.4984865,Coop
259,"Badenerstrasse 812, 8048 Zürich, Switzerland",Coop Pronto Shop,4.1,47.393316399999996,8.474460500000001,Coop
260,"Regensdorferstrasse 9, 8049 Zürich, Switzerland",Coop Supermarkt Zürich Hönggermarkt,4.2,47.4026805,8.4983802,Coop
261,"Wolfgang-Pauli-Strasse 14, 8049 Zürich, Switzerland",Coop Supermarkt Zürich ETH Hönggerberg,3.9,47.4083915,8.507961,Coop
262,"Rütihofstrasse 15, 8049 Zürich, Switzerland",Coop Supermarkt Zürich Rütihof,3.7,47.4137347,8.4796167,Coop
263,"Frankentalerstrasse 20, 8049 Zürich, Switzerland",Coop Supermarket,4.3,47.4058702,8.4814171,Coop
264,"Am Wasser 146, 8049 Zürich, Switzerland",Coop Pronto Shop mit Tankstelle,4.2,47.399702000000005,8.4972645,Coop
265,"Auguste-Piccard-Hof, 8049 Zürich, Switzerland",Coop Verkaufsautomat ETH Hönggerberg,4.0,47.408580900000004,8.5082551,Coop
266,"Sophie-Taeuber-Strasse 4, 8050 Zürich, Switzerland",Coop Supermarkt Zürich Eleven,4.3,47.4131828,8.5406746,Coop
267,"Schwamendingenstrasse 39, 8050 Zürich, Switzerland",Coop Supermarkt Zürich Dorflinde,4.0,47.4076154,8.549924299999999,Coop
268,"Hofwiesenstrasse 369, 8050 Zürich, Switzerland",Coop Pronto Shop,4.0,47.4112509,8.543221299999999,Coop
269,"Wallisellenstrasse 333, 8050 Zürich, Switzerland",Coop Supermarkt Zürich Precisa,4.0,47.4113768,8.562585,Coop
270,"Wallisellenstrasse 1, 8050 Zürich, Switzerland",Coop City Zürich Oerlikon Food,4.2,47.41037910000001,8.5466882,Coop
271,"Andreasstrasse 5, 8050 Zürich, Switzerland",Coop Supermarkt Zürich Andreasturm,4.3,47.41290499999999,8.5473555,Coop
272,"Thurgauerstrasse 36, 8050 Zürich, Switzerland",Coop Pronto Shop,4.2,47.4138904,8.5514837,Coop
273,"Dübendorfstrasse 447, 8051 Zürich, Switzerland",Coop Pronto Shop,4.1,47.3972115,8.5963125,Coop
274,"Schwellistrasse 69, 8052 Zürich, Switzerland",Coop Supermarkt Zürich Schwellistrasse,4.2,47.4248948,8.537753599999998,Coop
275,"Zürcherstrasse 1, 8142 Uitikon, Switzerland",Coop Supermarkt Uitikon Waldegg,4.4,47.3676719,8.461705199999999,Coop
276,"Milchbuckstrasse 1/5, 8057 Zürich, Switzerland",Coop Supermarkt Zürich Milchbuck,3.8,47.3954544,8.540429699999999,Coop
